OBJECTID,Station_ID,Feature_Origin,Notes,Mode_Observation,Slip_Sense,Scarp_Facing_Direction,Local_Fault_Dip,Local_Fault_Azimuth_Degrees,Slip_Azimuth,Fault_Slip_Measurement_Type,Heave_cm,Heave_min_cm,Heave_max_cm,Rupture_Expression,Rupture_Width_m,Rupture_Width_Min_m,Rupture_Width_Max_m,VM_Slip_Azimuth,Plunge,Net_Slip_Preferred_cm,Net_Slip_Min_cm,Net_Slip_Max_cm,Vector_Offset_Feature_Notes,Horizontal_Separation_cm,Horizontal_Separation_Min_cm,Horizontal_Separation_Max_cm,Vertical_Separation_cm,Vertical_Separation_Min_cm,Vertical_Separation_Max_cm,Slip_Offset_Feature_Notes,GlobalID,CreationDate,Creator,EditDate,Editor,fault_az_min_L,fault_az_max_L,fault_dip_min_L,fault_dip_max_L,local_frac_az_min_L,local_frac_az_max_L,striations_observed_L,gouge_observed_L,vect_plunge_min_L,vect_plunge_max_L,vect_az_min_L,vect_az_max_L,horiz_az_min_L,horiz_az_max_L,_citation,_latitude,_longitude,_napa_photo_exists,_observed_feature,_orig_lat,_orig_lon,Net_Slip_Preffered_cm
1330,29.0,Tectonic,Source: Napa 2014; 1.5- to 3-m-wide zone of left-stepping en echelon transtensional fractures: slip vector length was 0.55 ft along 350 bearing. Average fault azimuth was 345.,,RL,,,345,,,>1.5,,,A,,,,,,,,,,,,,,,,,,2014:09:16,Lutz,,,,,,,,,,,,,,,,,,38.23037486,-122.3146565,Y,Soil,38.23036957,-122.3146439,>16.7
1331,30.0,Tectonic,Source: Napa 2014; 4.5-m-wide zone of left-stepping en echelon transtensional fractures.,,RL,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Lutz,,,,,,,,,,,,,,,,,,38.23052984,-122.3147216,N,Soil,38.23052216,-122.3147049,
1332,31.0,Tectonic,Source: Napa 2014; 6-m-wide zone of left-stepping en echelon transtensional fractures.,,RL,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Lutz,,,,,,,,,,,,,,,,,,38.23067205,-122.3148277,N,Soil,38.23066711,-122.3148041,
1333,32.0,Tectonic,Source: Napa 2014; 1.5-m-wide zone of left-stepping en echelon transtensional fractures.,,RL,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Lutz,,,,,,,,,,,,,,,,,,38.23082439,-122.3149072,N,Soil,38.2308197,-122.3149033,
1334,33.0,Tectonic,Source: Napa 2014; 1.5- to 3-m-wide zone of left-stepping en echelon transtensional fractures.,,RL,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Lutz,,,,,,,,,,,,,,,,,,38.23098145,-122.3149746,N,Soil,38.2309761,-122.3149643,
1335,34.0,Tectonic,Source: Napa 2014; 1.5-m-wide zone of left-stepping en echelon transtensional fractures: slip vector length was 0.2 ft. along 350 bearing. Average fault azimuth was 345. Slip measurement is minimum value.,,RL,,,345,,,>0.5,,,A,,,,,,,,,,,,,,,,,,2014:09:16,Lutz,,,,,,,,,,,,,,,,,,38.23101925,-122.3149922,Y,Soil,38.23101425,-122.3149796,>6
1336,35.0,Tectonic,Source: Napa 2014; 1.5-m-wide zone of left-stepping en echelon transtensional fractures: slip vector length was 0.25 ft. along 350 bearing. Average fault strike was 345. Slip measurement is minimum value.,,RL,,,345,,,>0.6,,,A,,,,,,,,,,,,,,,,,,2014:09:16,Lutz,,,,,,,,,,,,,,,,,,38.23119909,-122.3150673,Y,Soil,38.23119354,-122.3150558,>7.6
1337,36.0,Tectonic,Source: Napa 2014; 5-m-wide zone of left-stepping en echelon transtensional fractures.,,RL,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Lutz,,,,,,,,,,,,,,,,,,38.23127793,-122.3150979,N,Soil,38.23127365,-122.315094,
1338,37.0,Tectonic,Source: Napa 2014; 1-m-wide zone of left-stepping en echelon transtensional fractures: slip vector length was 0.25 ft. along 345 bearing. Average fault strike was 345. Slip measurement is a minimum value.,,RL,,,345,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Lutz,,,,,,,,,,,,,,,,,,38.2313699,-122.315146,N,Soil,38.2313652,-122.3151321,>7.6
1339,38.0,Tectonic,Source: Napa 2014; 1.5-m-wide zone of left-stepping en echelon transtensional fractures: slip vector length was 0.25 ft. along 350 bearing. Average fault strike was 345. Slip measurement is a minimum value.,,RL,,,345,,,>0.6,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Lutz,,,,,,,,,,,,,,,,,,38.23146297,-122.315185,N,Soil,38.23145676,-122.3151779,>7.6
