OBJECTID,Station_ID,Feature_Origin,Notes,Confidence_Feature_ID,Mode_Observation,Slip_Sense,Scarp_Facing_Direction,Local_Fault_Dip,Local_Fault_Azimuth_Degrees,Slip_Azimuth,Fault_Slip_Measurement_Type,Heave_cm,Heave_min_cm,Heave_max_cm,Rupture_Expression,Rupture_Width_m,Rupture_Width_Min_m,Rupture_Width_Max_m,VM_Slip_Azimuth,Plunge,Net_Slip_Preferred_cm,Net_Slip_Min_cm,Net_Slip_Max_cm,Vector_Measurement_Confidence,Vector_Offset_Feature_Notes,Horizontal_Separation_cm,Horizontal_Separation_Min_cm,Horizontal_Separation_Max_cm,Vertical_Separation_cm,Vertical_Separation_Min_cm,Vertical_Separation_Max_cm,Slip_Measurement_Confidence,Slip_Offset_Feature_Notes,Diameter_m,Height_of_Material_m,Estimated_Max_VertMov_m,LQ_Area_Affected_sqm,Date_of_Movement,Displacement_Amount,Est_Direction_SM,Landslide_Feature,Slide_Type,Material_Type,Depth,SM_Area_Affected_sqm,Est_Max_Drop_Elev_ft,Length_Exposed_Downslope,Cause_of_Damage,Facility_Affected,Utility_Affected,Damage_Severity,GlobalID,CreationDate,Creator,EditDate,Editor,_citation,_comp_offset,_latitude,_longitude,_observed_feature,_orig_lat,_orig_lon,_photo,_trace
162,162,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:25,,,,,,,,,,,,,,,59:56.0,Morelan/Trexler,59:56.0,Napa_Migration,"Morelan, A., Trexler, C., and Oskin, M., 2015, Surface-Rupture and Slip Observations on the Day of the 24 August 2014 South Napa Earthquake: Seismological Research Letters, v. 86, no. 4, p. 1119-1127; supplemental materials are also available online at: https://ucdavis.app.box.com/s/9zsz84638fp90grhikzx",,38.25448554,-122.3264255,Soil,38.25452423,-122.3264313,Y,A
163,163,Uncertain,Source: Napa 2014; Fresh cracks in asphalt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:24,,,,,,,,,,,,,,,59:56.0,Dawson,59:56.0,Napa_Migration,,,38.254957,-122.327148,Pavement,38.25508499,-122.3270874,Y,A
164,164,Tectonic,Source: Napa 2014; Rupture in vineyard.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:24,,,,,,,,,,,,,,,59:56.0,Dawson,59:56.0,Napa_Migration,,,38.25557475,-122.326929,Soil,38.25558472,-122.3269424,Y,A
165,165,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:25,,,,,,,,,,,,,,,59:56.0,Dawson,59:56.0,Napa_Migration,,,38.25581713,-122.3270903,Soil,38.2558136,-122.3270798,Y,A
166,166,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:24,,,,,,,,,,,,,,,59:56.1,Dawson,59:56.1,Napa_Migration,,,38.25585025,-122.3271041,Soil,38.25589371,-122.3271942,Y,A
167,167,Tectonic,"Source: Napa 2014; South of Hwy 121: surface faulting cracks near vineyard; 4 in. wide, depth=1.07 m.",,,,,,,,,10*,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:24,,,,,,,,,,,,,,,59:56.1,Holzer,59:56.1,Napa_Migration,,,38.25585025,-122.3271041,Soil,38.2558403,-122.3271027,Y,A
168,168,Tectonic,Source: Napa 2014; Crack with tape measure approximately 6 cm right-lateral displacement. Tape measure oriented 170 southeast. About 17 cm right-lateral displacement.,,,RL,,,,,,,,,,,,,,,,,,,,17*,,,,,,,,,,,,2014:08:25,,,,,,,,,,,,,,,59:56.1,Dawson,59:56.1,Napa_Migration,,,38.25585025,-122.3271041,Soil,38.25589371,-122.3271637,Y,A
169,169,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:31,,,,,,,,,,,,,,,59:56.1,Ponti,59:56.1,Napa_Migration,,,38.25585025,-122.3271041,Soil,38.25587463,-122.3271255,Y,A
170,170,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:24,,,,,,,,,,,,,,,59:56.1,Kelson,59:56.1,Napa_Migration,,,38.25601268,-122.3271784,Soil,38.25603485,-122.3272858,Y,A
171,171,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:24,,,,,,,,,,,,,,,59:56.1,Kelson,59:56.1,Napa_Migration,"Dawson, T., Kelson, K., Wesling, J., Hudnut, K. and Ponti, D., 2014, Surface fault rupture associated with the M 6.0 South Napa earthquake of August 24, 2014, in August 24, 2014 South Napa, California Earthquake, section 3: GEER Association Rept. No. GEER-037.",,38.25605564,-122.327254,Pavement,38.25609207,-122.3270645,Y,A
172,172,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:24,,,,,,,,,,,,,,,59:56.1,Kelson,59:56.1,Napa_Migration,,,38.25605564,-122.327254,Pavement,38.25601196,-122.3272934,Y,A
173,173,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:24,,,,,,,,,,,,,,,59:56.1,Dawson,59:56.1,Napa_Migration,"Dawson, T., Kelson, K., Wesling, J., Hudnut, K. and Ponti, D., 2014, Surface fault rupture associated with the M 6.0 South Napa earthquake of August 24, 2014, in August 24, 2014 South Napa, California Earthquake, section 3: GEER Association Rept. No. GEER-037.",,38.25605564,-122.327254,Pavement,38.25606155,-122.32724,Y,A
174,174,Tectonic,Source: Napa 2014; photos view to northeast.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:24,,,,,,,,,,,,,,,59:56.1,Morelan/Trexler,59:56.1,Napa_Migration,"Morelan, A., Trexler, C., and Oskin, M., 2015, Surface-Rupture and Slip Observations on the Day of the 24 August 2014 South Napa Earthquake: Seismological Research Letters, v. 86, no. 4, p. 1119-1127; supplemental materials are also available online at: https://ucdavis.app.box.com/s/9zsz84638fp90grhikzx",,38.25605564,-122.327254,Pavement,38.2561264,-122.3272552,Y,A
175,175,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:24,,,,,,,,,,,,,,,59:56.2,Delattre,59:56.2,Napa_Migration,,,38.25605564,-122.327254,Pavement,38.25606918,-122.3273239,Y,A
176,176,Tectonic,Source: Napa 2014; Hwy 121 surface faulting: 9 cm right-lateral offset of southern stripe.,,,RL,,,,,,,,,,,,,,,,,,,,9*,,,,,,,,,,,,2014:08:24,,,,,,,,,,,,,,,59:56.2,Holzer,59:56.2,Napa_Migration,,,38.25605564,-122.327254,Pavement,38.25603104,-122.3272629,Y,A
177,177,Tectonic,Source: Napa 2014; Hwy 12: 9-10cm right-lateral.,,,RL,,,,,,,,,,,,,,,,,,,,9-10*,,,,,,,,,,,,2014:08:24,,,,,,,,,,,,,,,59:56.2,Stenner,59:56.2,Napa_Migration,,,38.25605564,-122.327254,Pavement,38.25603867,-122.3272934,Y,A
